Name	Banner Link	icon link	link	Is On SteamRevolver?	Is it Buzzheather or google drive or both	Is It Working?	Straight download link	new?
12 Is Better Than 6	https://file.garden/Zya8-gItADlYXzdp/download%20(22).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/0a7d47fa-bf06-4db5-a987-5292fe8cda43.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/12-is-better-than-6	Yes	google drive	Yes		No
60 Seconds	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/ss_126c785fa276a762d85f38e9591c3bdbc445a4d8.jpg	https://file.garden/Zya8-gItADlYXzdp/35e2dcdbea1950a7a290dd0c282da0a0.png	https://sites.google.com/view/steamrevolver/steamrevolvers/60-seconds	Yes	google drive	Yes		No
Balatro	https://file.garden/Zya8-gItADlYXzdp/Balatro_cover.jpg	https://file.garden/Zya8-gItADlYXzdp/d.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/bullatro	Yes	google drive	Yes		No
Call of Duty: Black Ops	https://file.garden/Zya8-gItADlYXzdp/download%20(24).jpeg	https://file.garden/Zya8-gItADlYXzdp/she.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/call-of-duty-black-opps	Yes	google drive	Yes		No
Clover Pit	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(25).jpeg	https://file.garden/Zya8-gItADlYXzdp/CloverPit_cover.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/clover-pit	Yes	google drive	Yes		No
Content Warning	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/banner600.jpg	https://file.garden/Zya8-gItADlYXzdp/contwar.jpg	https://sites.google.com/view/steamrevolver/steamrevolvers/content-warning	Yes	google drive	Yes		No
Cuphead	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download.png	https://file.garden/Zya8-gItADlYXzdp/512x512.png	https://sites.google.com/view/steamrevolver/steamrevolvers/cup-head	Yes	google drive	Yes		No
Dark Souls 2	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(26).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/8acb1ff404934847c541dd7ca4e9e963.png	https://sites.google.com/view/steamrevolver/steamrevolvers/dark-souls-2	Yes	google drive	Yes		No
Dispatch	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/Jf1Myqg2.jpg	https://file.garden/Zya8-gItADlYXzdp/02f9415af9bb0e1f2da0d11ebf525ab0.png	https://sites.google.com/view/steamrevolver/steamrevolvers/dispatcg	Yes	google drive	Yes		No
Doom	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/download%20(27).jpeg	https://raw.githubusercontent.com/BrickPlex/SteamRevolverDB/refs/heads/main/b2abecb16fd0b3ab8d15e01a42129ccbe819b887.png	https://sites.google.com/view/steamrevolver/steamrevolvers/myron-3d/doom	Yes	google drive	Yes		No
